"countopioid","abandon_cars","graffiti","pothole","street_cleaning","trash","abandon_cars.nn","pothole.nn","trash.nn","graffiti.nn","street_cleaning.nn","pctUnemploy","MedHHInc","pctPoverty","TotalPop","TotalUnit","NEIGH","Longitude","Latitude"
7,0,0,11,0,6,2069.68775301149,197.773271632988,178.43833428657,6126.73916878774,1423.25914638178,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.7065522066445,39.1292043964869
0,0,0,2,0,3,1574.8828607356,290.652078755958,236.649940821349,5818.565242048,929.592527792074,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.7034627368206,39.1254037857742
3,0,0,26,1,15,1085.70077599025,52.2189858335112,105.590488256998,5528.10668015182,481.420150426943,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.7003736098556,39.1216030748901
7,2,0,5,2,11,629.39796544146,252.252650503832,92.8142825844851,5256.73754928148,298.060134164323,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.6972848251993,39.1178022639905
0,0,0,5,0,3,1320.34682041696,218.345254335076,216.24170570973,5420.55988635218,744.792979012976,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.6976923415024,39.1255872256756
21,0,1,17,5,7,468.796925775275,160.771109131355,143.318528230943,5005.90149848058,135.205262909741,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.6941963830937,39.114001353265
0,0,0,1,0,4,837.155398243166,338.828069111682,206.570160828198,5138.54155884706,454.107050303857,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.6946035043068,39.1217863470056
13,0,1,7,3,13,397.63472633231,173.188598878134,93.4805306184124,4894.73790787126,224.640275705111,3.65150544522742,47604,22.9340166559898,1561,639,"Sayler Park",-84.6911082833261,39.1102003424553
2,1,0,4,0,13,472.926016681853,263.688661772307,104.333847992196,4886.02142549836,345.627337680593,1.25698324022346,66000,11.6620111731844,1432,635,"Sayler Park",-84.6915150096827,39.1179853684448
21,0,0,3,2,16,467.764085951613,297.307141721559,106.573033823326,4923.06348402041,224.797672011206,3.65150544522742,47604,22.9340166559898,1561,639,"Sayler Park",-84.6880205257165,39.1063992318122
4,1,0,11,1,12,388.232021044751,202.040923377187,60.207664278771,4701.87826489776,219.874707886556,3.65150544522742,47604,22.9340166559898,1561,639,"Sayler Park",-84.6884268573583,39.1141842900015
1,0,0,1,0,0,607.426525792853,385.237102659543,363.215450469919,4979.23430586251,300.6398348328,0.664451827242525,45714,10.188261351052,903,572,"Sayler Park",-84.6849331104628,39.1025980212496
24,3,0,3,1,28,251.521744036121,319.802357628072,60.9213135144909,4651.85393799504,289.611150185128,3.65150544522742,47604,22.9340166559898,1561,639,"Sayler Park",-84.6853390473772,39.1103831116512
5,3,0,3,3,23,294.448020023095,349.590476579118,61.2475767329283,4668.78907006215,211.287222666329,0.664451827242525,45714,10.188261351052,903,572,"Sayler Park",-84.682251579692,39.1065818333146
0,0,0,0,0,3,631.70995758051,560.290051591836,185.700756185484,4490.82169070748,591.125849976263,0.685549341511817,90365,0.992242467977629,5543,2133,"Sayler Park",-84.6826572792149,39.1143669419666
0,0,0,5,5,2,692.560742520539,281.938768112887,211.37969713069,4722.84530227604,121.71087527915,0.664451827242525,45714,10.188261351052,903,572,"Sayler Park",-84.6791644542129,39.1027804552358
0,0,0,0,0,5,579.989203331996,693.716164577503,171.821833043559,4444.72595377314,589.603271470851,3.65150544522742,47604,22.9340166559898,1561,639,"Sayler Park",-84.6795697591164,39.1105655959226
1,0,0,3,0,1,1189.89860096804,431.605494986557,588.433303254704,4802.14686473048,590.894159258373,0.664451827242525,45714,10.188261351052,903,572,"Riverside - Sayler Park",-84.6760776707812,39.0989789772677
1,0,1,4,0,0,1172.53570147784,276.382711408035,932.157843915842,4581.66270080441,983.477000087295,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6703092519024,39.0991609592448
0,30,0,3,1,0,186.603611933712,621.773208447584,311.401244296055,4509.73108800864,839.441135779421,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6556866857904,39.0957219888435
0,0,0,2,1,7,347.068921748872,509.011530301351,168.835322526137,4381.47926102823,700.418354823398,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6499184007813,39.0959029493314
0,0,0,3,0,0,774.986113251668,342.82481552256,595.621332254921,4479.11771298197,847.221289083553,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6468334605076,39.0921006025206
0,0,0,6,0,0,1256.74189808958,190.920619404065,533.756464849153,4608.36375032154,1031.76110739025,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6437488618293,39.0882981561938
0,0,0,3,0,0,1491.98369342877,396.151729716231,680.313077991946,4726.59941654256,861.552836487534,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6406646049792,39.0844956103808
1,0,0,0,1,0,1483.28438405838,432.475746679594,388.777920180001,4337.139190409,830.204992915968,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6379811047477,39.0884784975155
0,0,0,3,0,1,1560.75084223164,440.629655201493,688.955048920067,4435.6253195549,513.076591253905,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6348971376421,39.0846757844991
4,1,0,18,1,0,1554.25045011035,124.591305092953,716.5532333685,4581.71536514098,431.674251956141,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6318135123713,39.0808729720519
12,1,0,16,0,1,1361.12004041204,189.759664288443,530.706306011375,4772.41348699709,452.26004944163,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6287302282646,39.0770700600889
11,0,0,29,5,9,1208.28453067263,36.7699615234141,156.489456059521,4533.31743191918,115.925816327069,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6229632890009,39.0772496155586
6,0,0,0,0,5,1208.50647623031,433.819363776644,224.789935338209,4088.44728085731,330.472960916239,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6202790027947,39.0812321323824
