"countopioid","abandon_cars","dead_animals","graffiti","pothole","street_cleaning","trash","NEIGH","Longitude","Latitude"
7,0,1,0,11,0,6,"Sayler Park",-84.7065522066445,39.1292043964869
0,0,4,0,2,0,3,"Sayler Park",-84.7034627368206,39.1254037857742
3,0,3,0,26,1,15,"Sayler Park",-84.7003736098556,39.1216030748901
7,2,2,0,5,2,11,"Sayler Park",-84.6972848251993,39.1178022639905
0,0,0,0,5,0,3,"Sayler Park",-84.6976923415024,39.1255872256756
21,0,5,1,17,5,7,"Sayler Park",-84.6941963830937,39.114001353265
0,0,0,0,1,0,4,"Sayler Park",-84.6946035043068,39.1217863470056
13,0,1,1,7,3,13,"Sayler Park",-84.6911082833261,39.1102003424553
2,1,0,0,4,0,13,"Sayler Park",-84.6915150096827,39.1179853684448
21,0,1,0,3,2,16,"Sayler Park",-84.6880205257165,39.1063992318122
4,1,3,0,11,1,12,"Sayler Park",-84.6884268573583,39.1141842900015
1,0,0,0,1,0,0,"Sayler Park",-84.6849331104628,39.1025980212496
24,3,1,0,3,1,28,"Sayler Park",-84.6853390473772,39.1103831116512
5,3,1,0,3,3,23,"Sayler Park",-84.682251579692,39.1065818333146
0,0,0,0,0,0,3,"Sayler Park",-84.6826572792149,39.1143669419666
0,0,0,0,5,5,2,"Sayler Park",-84.6791644542129,39.1027804552358
0,0,0,0,0,0,5,"Sayler Park",-84.6795697591164,39.1105655959226
1,0,0,0,3,0,1,"Riverside - Sayler Park",-84.6760776707812,39.0989789772677
1,0,2,1,4,0,0,"Riverside",-84.6703092519024,39.0991609592448
0,30,3,0,3,1,0,"Riverside",-84.6556866857904,39.0957219888435
0,0,0,0,2,1,7,"Riverside",-84.6499184007813,39.0959029493314
0,0,0,0,3,0,0,"Riverside",-84.6468334605076,39.0921006025206
0,0,1,0,6,0,0,"Riverside",-84.6437488618293,39.0882981561938
0,0,4,0,3,0,0,"Riverside",-84.6406646049792,39.0844956103808
0,0,0,0,1,0,0,"Riverside",-84.6375806896047,39.0806929649322
1,0,0,0,0,1,0,"Riverside",-84.6379811047477,39.0884784975155
0,0,0,0,3,0,1,"Riverside",-84.6348971376421,39.0846757844991
4,1,0,0,18,1,0,"Riverside",-84.6318135123713,39.0808729720519
12,1,2,0,16,0,1,"Riverside",-84.6287302282646,39.0770700600889
11,0,2,0,29,5,9,"Riverside",-84.6229632890009,39.0772496155586
6,0,0,0,0,0,5,"Riverside",-84.6202790027947,39.0812321323824
4,0,10,0,5,0,0,"Riverside",-84.617196298596,39.0774288864354
13,0,1,1,17,2,17,"Westwood",-84.620785005626,39.147499803806
1,0,0,0,0,0,0,"Riverside",-84.6141139356592,39.0736255411504
10,0,3,0,8,2,18,"Westwood",-84.6173001337547,39.1359111095748
23,3,1,1,12,3,30,"Westwood",-84.6176991029623,39.1436967433647
1,0,5,0,8,1,1,"Riverside",-84.6114292566598,39.0776078727544
7,0,3,0,0,1,27,"West Price Hill",-84.6134182793489,39.11653654573
7,0,1,0,2,1,9,"Westwood",-84.614214967365,39.1321079181022
23,0,8,0,36,1,25,"Westwood",-84.6146135427748,39.1398935834291
48,5,4,0,16,6,34,"Westwood",-84.6150122725025,39.1476792350246
0,0,0,0,0,0,0,"Riverside",-84.6083471836521,39.0738043605964
2,1,0,0,1,3,44,"West Price Hill",-84.6103342419903,39.1127331915195
23,1,3,2,20,1,19,"Westwood",-84.6115283248824,39.1360903239585
17,3,4,0,18,2,36,"Westwood",-84.6119266607239,39.14387600727
1,10,3,0,8,5,19,"Riverside",-84.605662163472,39.0777865745872
2,0,2,0,1,1,0,"West Price Hill",-84.6072505464946,39.1089297378937
11,3,1,3,10,1,16,"Westwood",-84.6084434492006,39.132286965179
30,2,10,0,8,7,41,"Westwood",-84.6088413914038,39.1400726800662
24,6,8,0,12,5,25,"Westwood",-84.6092394877981,39.1478583809268
0,0,0,0,0,0,3,"Riverside",-84.6029768532695,39.0817687386003
0,0,0,0,0,0,0,"West Price Hill",-84.6041671927192,39.1051261850497
20,6,5,0,9,0,28,"West Price Hill",-84.6045642799492,39.1129119727848
11,1,4,1,4,4,30,"West Price Hill",-84.6049615209448,39.1206977468792
26,2,2,4,18,2,8,"Westwood",-84.6053589157292,39.1284835070285
29,0,9,2,23,1,24,"Westwood",-84.6057564644718,39.1362692534112
5,0,2,0,1,2,13,"Westwood",-84.6061541673097,39.1440549859646
12,1,0,0,2,0,18,"Westwood",-84.6065520241658,39.1518407045137
2,0,3,0,0,3,14,"Riverside",-84.5998950189523,39.0779649918279
27,0,4,0,18,2,7,"West Price Hill",-84.6014808748911,39.1091083521468
11,0,2,0,4,1,21,"West Price Hill",-84.6018777227472,39.1168941576627
25,2,3,5,39,1,14,"West Price Hill",-84.6022747244077,39.1246799494164
8,2,6,1,11,1,33,"Westwood",-84.6026718797471,39.1324657272882
10,0,10,0,12,2,17,"Westwood",-84.6030691889484,39.1402514913478
12,2,13,6,18,5,19,"Westwood",-84.6034666520062,39.1480372417302
12,3,7,0,17,1,15,"West Price Hill",-84.5983978117332,39.1053046322256
11,0,6,0,14,4,18,"West Price Hill",-84.5987942665459,39.1130904692059
26,3,5,5,28,1,25,"West Price Hill",-84.599190875061,39.1208762924744
34,0,0,0,19,0,8,"Westwood",-84.5995876371169,39.1286621019198
6,1,5,7,27,1,20,"Westwood",-84.5999845528207,39.1364478976365
0,0,4,0,9,4,7,"Westwood",-84.600381622131,39.1442336794071
18,3,6,4,1,5,21,"Westwood",-84.600778845427,39.1520194474253
22,0,5,0,1,1,8,"Westwood",-84.6011762226095,39.1598052015025
9,0,5,0,6,2,2,"Riverside",-84.5941278236267,39.0781431245475
9,1,7,2,9,1,10,"West Price Hill",-84.595315090002,39.1015008128935
59,4,4,0,11,5,68,"West Price Hill",-84.595711152161,39.1092866816836
26,8,6,2,66,2,35,"West Price Hill",-84.5961073675608,39.1170725362291
12,5,4,0,3,0,25,"West Price Hill",-84.5965037364253,39.1248583772238
8,1,1,0,5,0,14,"Westwood",-84.5969002588764,39.1326442042473
2,0,6,0,5,3,12,"Westwood",-84.597296934852,39.140430017625
