countopioid_PREDICTION,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,countopioid,abandon_cars,graffiti,pothole,street_cleaning,trash,abandon_cars_nn,pothole_nn,trash_nn,graffiti_nn,street_cleaning_nn,pctUnemploy,MedHHInc,pctPoverty,TotalPop,TotalUnit,NEIGH,Longitude,Latitude,id
3.3307967186,TotalUnit,-7.7712670326,635,---,geometry,-7.7274766684,01010000001B1DBF26382D55C090B408C589904340,---,street_cleaning_nn,-0.7076140404,1423.25914638178,-,APPROVED,7,0,0,11,0,6,2069.68775301149,197.773271632988,178.43833428657,6126.73916878774,1423.25914638178,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.7065522066445,39.1292043964869,1
1.4529310465,TotalUnit,-7.9650808692,635,---,geometry,-6.9059861779,010100000058269288052D55C0EF58333B0D904340,---,street_cleaning,-1.0062873125,0,--,APPROVED,0,0,0,2,0,3,1574.8828607356,290.652078755958,236.649940821349,5818.565242048,929.592527792074,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.7034627368206,39.1254037857742,2
4.6997613907,geometry,-9.7492375851,0101000000EB53D5EBD22C55C07EDF86B0908F4340,---,TotalUnit,-8.0426348686,635,---,abandon_cars_nn,-0.9721306801,1085.70077599025,-,APPROVED,3,0,0,26,1,15,1085.70077599025,52.2189858335112,105.590488256998,5528.10668015182,481.420150426943,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.7003736098556,39.1216030748901,3
6.458527565,TotalUnit,-7.5934763908,635,---,geometry,-4.6298095465,0101000000990E8850A02C55C0F39D0325148F4340,---,abandon_cars_nn,-0.5103843212,629.39796544146,-,APPROVED,7,2,0,5,2,11,629.39796544146,252.252650503832,92.8142825844851,5256.73754928148,298.060134164323,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.6972848251993,39.1178022639905,4
1.4314669371,geometry,-8.2516566992,01010000000A5BC7FDA62C55C03A89013E13904340,---,TotalUnit,-7.9726535797,635,---,street_cleaning,-1.0575974226,0,--,APPROVED,0,0,0,5,0,3,1320.34682041696,218.345254335076,216.24170570973,5420.55988635218,744.792979012976,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.6976923415024,39.1255872256756,5
15.2420892715,TotalUnit,-7.1540545464,635,---,geometry,-2.6860416412,0101000000E498AAB66D2C55C088FCA998978E4340,--,street_cleaning,2.443242836,5,++,APPROVED,21,0,1,17,5,7,468.796925775275,160.771109131355,143.318528230943,5005.90149848058,135.205262909741,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.6941963830937,39.114001353265,6
1.135432601,TotalUnit,-7.9732687593,635,---,geometry,-6.9403638244,0101000000D2AB4162742C55C083BEECB1968F4340,---,street_cleaning,-1.1583342075,0,--,APPROVED,0,0,0,1,0,4,837.155398243166,338.828069111682,206.570160828198,5138.54155884706,454.107050303857,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.6946035043068,39.1217863470056,7
13.322353363,TotalUnit,-7.5610815048,639,---,geometry,-2.9154074192,010100000056B83C1E3B2C55C03F6D790B1B8E4340,--,graffiti_nn,1.0407445908,4894.73790787126,++,APPROVED,13,0,1,7,3,13,397.63472633231,173.188598878134,93.4805306184124,4894.73790787126,224.640275705111,3.65150544522742,47604,22.9340166559898,1561,639,Sayler Park,-84.6911082833261,39.1102003424553,8
4.7447214127,TotalUnit,-7.9175415039,635,---,geometry,-4.717596817,0101000000F1D12BC8412C55C03F7001251A8F4340,---,street_cleaning,-1.3799001694,0,--,APPROVED,2,1,0,4,0,13,472.926016681853,263.688661772307,104.333847992196,4886.02142549836,345.627337680593,1.25698324022346,66000,11.6620111731844,1432,635,Sayler Park,-84.6915150096827,39.1179853684448,9
14.3005619049,TotalUnit,-7.0156105042,639,---,graffiti_nn,2.2333008766,4923.06348402041,++,geometry,1.5095602512,0101000000763B3E87082C55C0FA79727D9E8D4340,++,APPROVED,21,0,0,3,2,16,467.764085951613,297.307141721559,106.573033823326,4923.06348402041,224.797672011206,3.65150544522742,47604,22.9340166559898,1561,639,Sayler Park,-84.6880205257165,39.1063992318122,10
